"workflow","status","workbook_rows","match_reason","script_type","perf_workflow","functional_workflow","resolved_usernames","position","multiple_usernames","username_count","resolved_mill_password"
"VA-Inpatient-Pharmacy-1","mapped","63","strict:perf_base_part_equivalent","Split","VA-Inpatient-Pharmacy-Regression-P1","VA-Inpatient-Pharmacy-Regression","ABL_InPatient_Pharm_PtOne1|ABL_InPatient_Pharm_PtOne_B1","VA Physician - Hospitalist|VA PharmNet: Pharmacist","yes","2","scale"
"VA-Inpatient-Pharmacy-2","mapped","64","strict:perf_base_part_equivalent","Split","VA-Inpatient-Pharmacy-Regression-P2","VA-Inpatient-Pharmacy-Regression","ABL_InPatient_Pharm_PtTwo_A1|ABL_InPatient_Pharm_PtTwo_B1","VA Nurse: Nurse|VA Physician - Hospitalist","yes","2","scale"
"VA-MPage-DynDoc","mapped","69","strict:perf_exact_or_norm","Leave As Is","VA-Mpage-DynDoc-Regression-Script","VA-Mpage-DynDoc-Regression-Script","ABL_Mpage_DynDoc1","VA Physician - Hospitalist","no","1","scale"
"VA-Messages-And-Orders","mapped","17","strict:perf_exact_or_norm","Leave As Is","VA-Messages-And-Orders","VA-Messages-And-Orders","ABL_Messages_Orders_A1|ABL_Messages_Orders_B1|ABL_Messages_Orders_C1","VA Physician - Hospitalist|VA Physician - Primary Care|VA Physician - Resident HPT","yes","3","scale"
"VA-Origination-Referral-Part1","mapped","45","strict:perf_base_part_equivalent","Split","VA-Origination-Referral-Regression-Script-P1","VA-Origination-Referral-Regression-Script","ABL_Orig_Referral_PtOne_A1|ABL_Orig_Referral_PtOne_B1","VA Physician Assistant|VA Physician - Primary Care","yes","2","scale"
"VA-Origination-Referral-Part2","mapped","46","strict:perf_base_part_equivalent","Split","VA-Origination-Referral-Regression-Script-P2","VA-Origination-Referral-Regression-Script","ABL_Orig_Referral_PtTwo1","VA Referral Coordinator","no","1","scale"
"VA-PathNet-AP-1","mapped","43","strict:perf_base_part_equivalent","Split","VA-PathNet-AP-Regression-P1","VA-PathNet-AP-Regression","ABL_PathNet_AP_PtOne_A1","VA Lab: AP Histotech","no","1","scale"
"VA-PathNet-AP-2","mapped","44","strict:perf_base_part_equivalent","Split","VA-PathNet-AP-Regression-P2","VA-PathNet-AP-Regression","ABL_PathNet_AP_PtTwo_AA1|ABL_PathNet_AP_PtTwo_B1|ABL_PathNet_AP_PtTwo_C1","VA Lab: AP Histotech|VA Lab: AP Transcription|VA Lab: AP Pathologist","yes","3","scale"
"VA-PathNet-Blood-Products-Orders-1","mapped","37","strict:perf_base_part_equivalent","Split","VA-PathNet-Blood-Products-Orders-Regression-Script-P1","VA-PathNet-Blood-Products-Orders-Regression-Script","ABL_BloodProduct_PtOne1","VA Physician - Hospitalist","no","1","scale"
"VA-PathNet-Blood-Products-Orders-2","mapped","38","strict:perf_base_part_equivalent","Split","VA-PathNet-Blood-Products-Orders-Regression-Script-P2","VA-PathNet-Blood-Products-Orders-Regression-Script","ABL_BloodProduct_PtTwo1","VA Physician - Hospitalist","no","1","scale"
"VA-PathNet-DOE","mapped","58","strict:perf_exact_or_norm","Leave As Is","VA-PathNet-DOE-Regression-Script","VA-PathNet-DOE-Regression-Script","ABL_PATHNET_DOE1","VA Laboratory: Hybrid Medical Tech","no","1","scale"
"VA-PathNet-Gen-Micro-Lab-Cultures-and-Storage-Tracking-1","mapped","55","fallback:ratio=0.959;token_overlap=0.900;part_bonus=0.05;combo_bonus=0.00","Split","VA-PathNet-Gen-Lab-Micro-Lab-Regression-Cultures-and-Storage-Tracking-P1","VA-PathNet-Gen-Lab-Micro-Lab-Regression-Cultures-and-Storage-Tracking","ABL_GLB_CultureStorage_PtOne1","VA Laboratory: Hybrid Medical Tech","no","1","scale"
"VA-PathNet-GenLabFull-Part1","mapped","47","strict:perf_base_part_equivalent","Split","VA-PathNet-GenLab-Full-Regression-P1","VA-PathNet-GenLab-Full-Regression","ABL_PN_GLB_Full_PtOne1","VA Laboratory: Hybrid Medical Tech","no","1","scale"
"VA-PathNet-GenLabFull-Part2","mapped","48","strict:perf_base_part_equivalent","Split","VA-PathNet-GenLab-Full-Regression-P2","VA-PathNet-GenLab-Full-Regression","ABL_PN_GLB_Full_PtTwo1","VA Laboratory: Hybrid Medical Tech","no","1","scale"
"VA-PathNet-Micro-Full-1","mapped","39","strict:perf_base_part_equivalent","Split","VA-PathNet-Micro-Full-Regression-Script-P1","VA-PathNet-Micro-Full-Regression-Script","ABL_PathNet_MicroFull_PtOne1","VA Laboratory: Hybrid Medical Tech","no","1","scale"
"VA-Patient-Centric-Referral-DiagnosisAsst","mapped","67;68","fallback:ratio=0.787;token_overlap=0.800;part_bonus=0.00;combo_bonus=0.00;combined_group=9","Combined 9","","VA-Patient-Centric-Referral","ABL_PatCentric_Referral_Grp9_A1|ABL_Diagnosis_Asst_Grp9_B1","VA Physician Assistant|VA Physician - Primary Care","yes","2","scale"
"VA-Patient-Deficiency-Analysis","mapped","57","strict:perf_exact_or_norm","Leave As Is","VA-Patient-Deficiency-Analysis-Regression-Script","VA-Patient-Deficiency-Analysis-Regression-Script","ABL_Patient_Def_Analysis1","VA HIM: Chief","no","1","scale"
"VA-Periop-Pref-Cards-1","no_match_preserve_existing","","manual_override: workbook has no Periop-Pref-Cards row; preserve existing usernames","","","","","","no","0",""
"VA-Periop-Pref-Cards-2","no_match_preserve_existing","","manual_override: workbook has no Periop-Pref-Cards row; preserve existing usernames","","","","","","no","0",""
"VA-Periop-Pref-Cards-3","no_match_preserve_existing","","manual_override: workbook has no Periop-Pref-Cards row; preserve existing usernames","","","","","","no","0",""
"VA-PhaCharge-Credit-1","mapped","25","strict:perf_base_part_equivalent","Split","VA-PhaCharge-Credit_Part1","VA-PhaCharge-Credit_Part1","ABL_PhaChrgCredit_Pt1_AA1|ABL_PhaChrgCredit_Pt1_B1","VA Nurse: Nurse|VA Physician - Hospitalist","yes","2","scale"
"VA-PhaCharge-Credit-2","mapped","73","strict:perf_base_part_equivalent","Split","VA-PhaCharge-Credit-P2","VA-PhaCharge-Credit","ABL_PhaChrgCredit_PtTwo1","VA PharmNet: Pharmacist","no","1","scale"
"VA-Pharmacy-Care-Organizer-And-Supply-Chain","mapped","10;11","fallback:ratio=0.767;token_overlap=0.571;part_bonus=0.00;combo_bonus=0.03;combined_group=14","Combined 14","","VA-Pharmacy-Care-Organizer","ABL_Pharm_CareOrg_Grp14_B1|ABL_SupplyChain_Grp14_A1","VA PharmNet: Pharmacist|VA Supply Chain - Inventory Specialist","yes","2","scale"
"VA-Physician-Deficiency-Analysis","mapped","51","strict:perf_exact_or_norm","Leave As Is","VA-Physician-Deficiency-Analysis-Regression","VA-Physician-Deficiency-Analysis-Regression","ABL_Phys_Def_Analysis1","VA HIM: Chief","no","1","scale"
"VA-PowerChart-Inpatient-1","mapped","53","strict:perf_base_part_equivalent","Split","VA-PowerChart-Inpatient-Regression-Script-P1","VA-PowerChart-Inpatient-Regression-Script","ABL_Pchart_Inpatient_PtOne1","VA Physician - Hospitalist","no","1","scale"
"VA-PowerChart-Inpatient-2","mapped","54","strict:perf_base_part_equivalent","Split","VA-PowerChart-Inpatient-Regression-Script-P2","VA-PowerChart-Inpatient-Regression-Script","ABL_Pchart_Inpatient_PtTwo_A1|ABL_Pchart_Inpatient_PtTwo_B1|ABL_Pchart_Inpatient_PtTwo_C1","VA Physician - Hospitalist|VA Physician - Hospitalist|VA Physician - Hospitalist","yes","3","scale"
"VA-PowerChart-RX-Writer","mapped","65","strict:perf_exact_or_norm","Leave As Is","VA-PowerChart-RX-Writer-Regression-Script","VA-PowerChart-RX-Writer-Regression-Script","ABL_Pchart_RX_Writer_C1","VA Physician - Hospitalist","no","1","scale"
"VA-PowerForm-Charting-And-Text-Control-Net","mapped","13;14","fallback:ratio=0.957;token_overlap=0.429;part_bonus=0.00;combo_bonus=0.03;combined_group=3","Combined 3","VA-PowerForm-Charting-TextControlNet","VA-PowerForm-Charting","ABL_PwfCharting_Grp3_A1|ABL_TxtControlNet_Grp3_B1","VA Physician - Primary Care|VA Physician - Primary Care","yes","2","scale"
"VA-Printing-Lab-1","mapped","72","strict:perf_base_part_equivalent","Split","VA-Printing-Regression-Testing-Script-Lab-P1","VA-Printing-Regression-Testing-Script-Lab","ABL_PrintReg_TestLab_PtOne1","VA Laboratory: Hybrid Medical Tech","no","1","scale"
"VA-Printing-Lab-2","mapped","76","strict:perf_base_part_equivalent","Split","VA-Printing-Regression-Testing-Script-Lab-P2","VA-Printing-Regression-Testing-Script-Lab","ABL_PrintReg_TestLab_PtTwo_A1|ABL_PrintReg_TestLab_PtTwo_B1","VA Laboratory: Hybrid Medical Tech|VA Physician - Emergency","yes","2","scale"
"VA-Printing-PeriOp-Pharmacy-Workstation","mapped","4;5","strict:perf_exact_or_norm;combined_group=1","Combined 1","VA-Printing-PeriOp-Pharmacy-Workstation","VA-Printing-Regression-Testing-Script-PeriOp","ABL_PrintReg_Periop_Grp1_A1|ABL_PharmWrkstation_Grp1_B1","VA Perioperative - Nurse|VA PharmNet: Pharmacist","yes","2","scale"
"VA-Printing-Pharmacy","mapped","89","strict:perf_exact_or_norm","Leave As Is","VA-Printing-Regression-Script-Pharmacy","VA-Printing-Regression-Script-Pharmacy","ABL_PrintReg_Pharmacy1","Automation Pharmacist","no","1","scale"
"VA-Printing-Radiology","mapped","33","strict:perf_exact_or_norm","Leave As Is","VA-Printing-Regression-Testing-Script-Radiology","VA-Printing-Regression-Testing-Script-Radiology","ABL_PrintReg_Radiology1","VA RadNet: Radiology Technologist","no","1","scale"
"VA-Printing-Revenue-Cycle-1","mapped","56","strict:perf_base_part_equivalent","Split","VA-Printing-Regression-Testing-Script-RevenueCycle-P1","VA-Printing-Regression-Testing-Script-RevenueCycle","ABL_PrintReg_RevCycle_PtOne1","VA Registration/Scheduling Clerk III","no","1","scale"
"VA-Printing-Revenue-Cycle-2","mapped","77","strict:perf_base_part_equivalent","Split","VA-Printing-Regression-Testing-Script-RevenueCycle-P2","VA-Printing-Regression-Testing-Script-RevenueCycle","ABL_PrintReg_RevCycle_PtTwo1","VA OPECC - Biller","no","1","scale"
"VA-Procedure-Social-Family-History","mapped","42","fallback:ratio=0.811;token_overlap=1.000;part_bonus=0.00;combo_bonus=0.00","Leave As Is","VA-Procedure-History-Social-History-Family-History","VA-Procedure-History-Social-History-Family-History","ABL_PROCHIST_SOCHIST_FAMHIST1","VA Physician - Primary Care","no","1","scale"
"VA-Quick-Reg","mapped","66","strict:perf_exact_or_norm","Leave As Is","VA-Quick-Reg-Regression-Script","VA-Quick-Reg-Regression-Script","ABL_Quick_Registration1","VA Registration/Scheduling Clerk I","no","1","scale"
"VA-Revenue-Cycle-Worklist-Performance-Check","mapped","22","strict:perf_exact_or_norm","Leave As Is","VA-Revenue-Cycle-Worklist-Performance-Check","VA-Revenue-Cycle-Worklist-Performance-Check","ABL_RevCycle_WorklistPerfCheck1","VA Registration/Scheduling Clerk III","no","1","scale"
"VA-Sch-Appt-Many-Locations-Mult-Appt-First-Available","mapped","26;27","last_resort:ratio=0.564;combined_group=10","Combined 10","VA-SchedAppt-withML-and-MultipleAppt-FA","VA-Schedule-Appointment-with-Many-Locations","ABL_SCHEDAPPT_ML_Grp10_A1|ABL_MULTIPLEAPPT_FA_Grp10_B1","VA Registration/Scheduling Clerk I|VA Registration/Scheduling Clerk I","yes","2","scale"
"VA-Schedule-Appointment-Through-First-Available-and-Modify-Appointments","mapped","30","strict:perf_exact_or_norm","Leave As Is","VA-Schedule-Appointment-Through-First-Available-and-Modify-Appointments","VA-Schedule-Appointment-Through-First-Available-and-Modify-Appointments","ABL_SCHEDAPPT_FA_MODAPPT1","VA Registration/Scheduling Clerk I","no","1","scale"
"VA-Scheduling-Protocol-Appointment","mapped","32","strict:perf_exact_or_norm","Leave As Is","VA Scheduling Protocol Appointment Regression Script","VA Scheduling Protocol Appointment Regression Script","ABL_SchedProtocolAppt_Regres_A1|ABL_SchedProtocolAppt_Regres_B1","VA Physician - Primary Care|VA Registration/Scheduling Clerk I","yes","2","scale"
"VA-Single-Block-Occurrence-Modify-Appointments","mapped","23;24","fallback:ratio=0.719;token_overlap=0.667;part_bonus=0.00;combo_bonus=0.00;combined_group=11","Combined 11","VA-Single-Block-Occurrence","VA-Single-Block-Occurrence","ABL_SingleBlockOccur_Grp11_A1|ABL_MODIFYAPPT_Grp11_B1","VA Registration/Scheduling Clerk I|VA Registration/Scheduling Clerk I","yes","2","scale"
"VA-VTE-Risk-Assessment","mapped","31","strict:perf_exact_or_norm","Leave As Is","VA-VTE-Risk-Assessment-Regression","VA-VTE-Risk-Assessment-Regression","ABL_VTERiskAssessment1","VA Physician - Hospitalist","no","1","scale"
"VA-XR-1","mapped","36","fallback:ratio=0.889;token_overlap=0.667;part_bonus=0.00;combo_bonus=0.00","Leave As Is","VA-XR-Regression-Script","VA-XR-Regression-Script","ABL_XR_Regression1","VA HIM: ROI","no","1","scale"
"VA-XR-2","mapped","36","fallback:ratio=0.889;token_overlap=0.667;part_bonus=0.00;combo_bonus=0.00","Leave As Is","VA-XR-Regression-Script","VA-XR-Regression-Script","ABL_XR_Regression1","VA HIM: ROI","no","1","scale"
"VA-XR-MRR","mapped","12","strict:perf_exact_or_norm","Leave As Is","VA-XR-MRR-regression-script","VA-XR-MRR-regression-script","ABL_XR_MRR_AA1|ABL_XR_MRR_B1","VA Ambulatory: Clinic Manager|VA HIM: Chief","yes","2","scale"
"VA-XR-Manual-Expedite","mapped","35","strict:perf_exact_or_norm","Leave As Is","VA-XR-Manual-Expedite-Regression-Script","VA-XR-Manual-Expedite-Regression-Script","ABL_XR_Manual_Expedite_A1|ABL_XR_Manual_Expedite_B1|ABL_XR_Manual_Expedite_C1","VA Laboratory: Hybrid Medical Tech|VA HIM: ROI|VA RadNet: Radiology Technologist","yes","3","scale"
